,democrat,republican,other
Appling,2529,3758,124
Atkinson,1079,1365,48
Bacon,1357,2122,66
Baker,843,737,24
Baldwin,7542,6620,240
Banks,1838,3404,117
Barrow,7232,11021,445
Bartow,11622,17274,652
Ben Hill,2641,2640,79
Berrien,2076,3246,118
Bibb,32317,25199,803
Bleckley,1757,2542,75
Brantley,1924,3305,121
Brooks,2653,2721,79
Bryan,4078,5998,156
Bulloch,8975,10247,321
Burke,4590,3810,101
Butts,3292,4134,142
Calhoun,1166,852,28
Camden,6283,7574,209
Candler,1352,1715,53
Carroll,14704,19256,714
Catoosa,8095,12501,411
Charlton,1418,1834,57
Chatham,50328,41988,1326
Chattahoochee,754,679,29
Chattooga,3127,4056,188
Cherokee,26933,45595,1686
Clarke,20910,14821,1189
Clay,769,546,15
Clayton,54889,25844,1108
Clinch,1028,1191,46
Cobb,129303,138562,6100
Coffee,5302,6461,176
Colquitt,4865,6637,196
Columbia,18414,27765,649
Cook,2175,2700,72
Coweta,17163,24990,790
Crawford,1945,2359,83
Crisp,3060,3330,92
Dade,2222,3336,160
Dawson,2656,5158,180
Decatur,4359,4554,118
DeKalb,176958,93064,4736
Dodge,2978,3850,131
Dooly,2039,1760,53
Dougherty,20346,13447,348
Douglas,22381,20554,794
Early,2334,2082,62
Echols,348,631,22
Effingham,6168,9532,229
Elbert,3394,3724,132
Emanuel,3346,3810,109
Evans,1513,1816,47
Fannin,3510,5527,219
Fayette,21448,28190,993
Floyd,12872,16878,593
Forsyth,19949,36627,1137
Franklin,2651,4177,154
Fulton,199598,134870,5510
Gilmer,3476,5696,203
Glascock,407,777,26
Glynn,12457,15194,392
Gordon,5741,8845,318
Grady,3620,4335,129
Greene,3120,3533,79
Gwinnett,116065,122471,5445
Habersham,4447,7769,246
Hall,18592,29967,979
Hancock,2505,1158,28
Haralson,3613,5686,213
Harris,4876,7070,161
Hart,3720,4813,176
Heard,1480,2165,88
Henry,33024,32278,964
Houston,21358,24725,819
Irwin,1437,1828,55
Jackson,6136,10959,338
Jasper,2083,2734,80
Jeff Davis,1884,2781,100
Jefferson,3592,2852,73
Jenkins,1519,1546,44
Johnson,1453,1840,50
Jones,4625,5596,152
Lamar,2841,3488,123
Lanier,1139,1281,44
Laurens,7840,8971,243
Lee,3962,6506,132
Liberty,7839,5244,183
Lincoln,1680,2019,54
Long,1390,1561,60
Lowndes,15705,16220,452
Lumpkin,3271,5355,230
Macon,2753,1811,50
Madison,3665,5740,212
Marion,1341,1380,41
McDuffie,3786,4157,114
McIntosh,2614,2527,77
Meriwether,4132,3887,126
Miller,1029,1367,46
Mitchell,3663,3376,87
Monroe,4210,5535,159
Montgomery,1327,1775,56
Morgan,3169,4131,124
Murray,3920,5793,258
Muscogee,35692,26838,692
Newton,16163,14548,482
Oconee,5489,8448,312
Oglethorpe,2284,3009,133
Paulding,16846,24084,705
Peach,4948,4182,122
Pickens,3709,6492,228
Pierce,2059,3632,75
Pike,2329,4129,123
Polk,5030,6801,262
Pulaski,1554,1907,58
Putnam,3376,4290,118
Quitman,539,446,20
Rabun,2457,3830,162
Randolph,1600,1277,33
Richmond,40684,28105,871
Rockdale,16752,14317,638
Schley,611,856,21
Screven,2792,2736,71
Seminole,1582,1705,58
Spalding,9591,10848,346
Stephens,3610,5374,207
Stewart,1197,830,27
Sumter,5719,5060,139
Talbot,1838,1209,39
Taliaferro,552,366,11
Tattnall,2596,3470,109
Taylor,1583,1598,41
Telfair,1913,1924,67
Terrell,2096,1687,45
Thomas,7309,8157,201
Tift,5305,6826,151
Toombs,3575,4742,137
Towns,1968,3130,123
Treutlen,1177,1298,37
Troup,10110,11574,340
Turner,1480,1513,51
Twiggs,2178,1807,66
Union,3346,5432,206
Upson,4397,5376,146
Walker,8144,12063,471
Walton,10543,17076,502
Ware,4773,6053,143
Warren,1342,1033,28
Washington,4190,3551,104
Wayne,3695,5364,155
Webster,533,477,14
Wheeler,873,1023,31
White,3215,5497,194
Whitfield,10234,14479,486
Wilcox,1179,1503,47
Wilkes,2192,2204,63
Wilkinson,2164,2021,66
Worth,3044,4098,112
